address,full_address,HDB_latitude,HDB_longitude,Nearest_MRT_ID,Nearest_MRT,MRT_latitude,MRT_longitude,Nearest_bus_stop_ID,Nearest_bus_stop,bus_stop_latitude,bus_stop_longitude,Distance_m_Nearest_MRT,Distance_m_Nearest_bus_stop
887A WOODLANDS DR 50,887A WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 731887,1.437192165,103.7938909,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46671,BEF 888 PLAZA,1.43689166,103.7946223,666.8083585,87.91911781
987C BUANGKOK GREEN,987C BUANGKOK GREEN BUANGKOK VALE SINGAPORE 533987,1.37932815,103.8777892,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,66481,OPP BLK 968,1.37918666,103.8783096,1401.253181,59.99218172
988A BUANGKOK GREEN,988A BUANGKOK GREEN BUANGKOK VALE SINGAPORE 531988,1.379467597,103.8772665,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,64129,BLK 988B,1.3799597,103.876868,1380.197592,70.19447683
988C BUANGKOK GREEN,988C BUANGKOK GREEN BUANGKOK VALE SINGAPORE 533988,1.380296863,103.8772664,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,64129,BLK 988B,1.3799597,103.876868,1288.79913,57.92492541
211C PUNGGOL WALK,211C PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 823211,1.400760493,103.8996136,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,468.5343666,196.0773292
210C PUNGGOL PL,210C PUNGGOL PLACE PUNGGOL CREST SINGAPORE 823210,1.399654404,103.8999156,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,559.9638311,277.1829472
213B PUNGGOL WALK,213B PUNGGOL WALK PUNGGOL WAVES SINGAPORE 822213,1.400719621,103.8984847,PW7,SOO TECK LRT STATION,1.405278421,103.8972947,65331,OPP BLK 268D,1.402865,103.898518,521.1944609,237.2541683
448B SENGKANG WEST WAY,448B SENGKANG WEST WAY FERNVALE CREST SINGAPORE 792448,1.393419817,103.8733199,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,68029,BLK 448A,1.39312162,103.8726496,371.2425144,81.56317323
180C RIVERVALE CRES,180C RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 543180,1.389491502,103.9096604,SE2,RUMBIA LRT STATION,1.391433422,103.9060064,67661,OPP 178A,1.388894,103.908784,459.85438,117.8021078
887B WOODLANDS DR 50,887B WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 732887,1.437202545,103.7943509,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46671,BEF 888 PLAZA,1.43689166,103.7946223,717.3170426,45.76228318
886C WOODLANDS DR 50,886C WOODLANDS DRIVE 50 SWEETLANDS CHILDCARE WOODLANDS 886C PTE. LTD. SINGAPORE 733886,1.43773146,103.7941358,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46671,BEF 888 PLAZA,1.43689166,103.7946223,707.0343715,107.4930803
9B BOON TIONG RD,9B BOON TIONG ROAD MY WORLD PRESCHOOL LTD. SINGAPORE 163009,1.286814178,103.8289283,EW17,TIONG BAHRU MRT STATION,1.286218621,103.8269134,10151,CTRL GREEN CONDO,1.28572048,103.8285292,233.7112322,128.8332883
988B BUANGKOK GREEN,988B BUANGKOK GREEN BUANGKOK VALE SINGAPORE 532988,1.379894363,103.8774062,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,64129,BLK 988B,1.3799597,103.876868,1334.500368,60.32462242
210A PUNGGOL PL,210A PUNGGOL PLACE PUNGGOL CREST SINGAPORE 821210,1.400068281,103.9003993,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,497.3173207,215.7544784
212A PUNGGOL WALK,212A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821212,1.399960561,103.8989836,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,581.0908149,307.940603
209A PUNGGOL PL,209A PUNGGOL PLACE MY FIRST SKOOL SINGAPORE 821209,1.399730675,103.9007321,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,521.6957998,245.9828771
213A PUNGGOL WALK,213A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821213,1.400309003,103.8980751,PW7,SOO TECK LRT STATION,1.405278421,103.8972947,65439,BLK 220C,1.40172529,103.8963181,556.3139609,250.5152938
430A FERNVALE LINK,430A FERNVALE LINK FERNVALE RIDGE SINGAPORE 791430,1.393870162,103.8785172,SW6,LAYAR LRT STATION,1.392083066,103.8800681,67569,BLK 432A,1.39504999,103.877,262.3697126,213.3729967
430B FERNVALE LINK,430B FERNVALE LINK FERNVALE RIDGE SINGAPORE 792430,1.393907694,103.8782233,SW6,LAYAR LRT STATION,1.392083066,103.8800681,67569,BLK 432A,1.39504999,103.877,287.8458143,185.7076812
886B WOODLANDS DR 50,886B WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 732886,1.4382581,103.7941155,TE2,WOODLANDS MRT STATION,1.436032112,103.7880109,46399,AFT 888 PLAZA,1.43896035,103.7942371,722.5640154,78.82062526
9A BOON TIONG RD,9A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 162009,1.286827152,103.8286595,EW17,TIONG BAHRU MRT STATION,1.286218621,103.8269134,10151,CTRL GREEN CONDO,1.28572048,103.8285292,205.646327,123.226045
174A HOUGANG AVE 1,174A HOUGANG AVENUE 1 PAYA LEBAR LODGE SINGAPORE 531174,1.349599528,103.88875,NE13,KOVAN MRT STATION,1.36010958,103.8848699,63109,BLK 172,1.35081444,103.8898442,1239.777539,181.3126755
212B PUNGGOL WALK,212B PUNGGOL WALK PUNGGOL WAVES SINGAPORE 822212,1.400404239,103.8994843,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,509.3943468,233.9548092
209B PUNGGOL PL,209B PUNGGOL PLACE PUNGGOL CREST SINGAPORE 822209,1.399730514,103.9009354,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,516.3134424,245.0850306
213C PUNGGOL WALK,213C PUNGGOL WALK PUNGGOL WAVES SINGAPORE 823213,1.400598495,103.8989202,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65331,OPP BLK 268D,1.402865,103.898518,529.003789,254.5834142
178B RIVERVALE CRES,178B RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 542178,1.388546893,103.910034,SE3,BAKAU LRT STATION,1.387992934,103.905414,67661,OPP 178A,1.388894,103.908784,517.7820568,144.30546
433A SENGKANG WEST WAY,433A SENGKANG WEST WAY FERNVALE PALMS SINGAPORE 791433,1.394949473,103.877567,SW4,THANGGAM LRT STATION,1.397246572,103.8756254,67569,BLK 432A,1.39504999,103.877,333.4739202,64.07098671
432A SENGKANG WEST WAY,432A SENGKANG WEST WAY FERNVALE PALMS SINGAPORE 791432,1.394750476,103.8772023,SW4,THANGGAM LRT STATION,1.397246572,103.8756254,67569,BLK 432A,1.39504999,103.877,327.0705454,40.0462214
886A WOODLANDS DR 50,886A WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 731886,1.438291516,103.7946129,NS10,ADMIRALTY MRT STATION,1.440538153,103.8009776,46399,AFT 888 PLAZA,1.43896035,103.7942371,750.5947644,84.96456166
10A BOON TIONG RD,10A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 160010,1.286358471,103.8296262,EW17,TIONG BAHRU MRT STATION,1.286218621,103.8269134,10151,CTRL GREEN CONDO,1.28572048,103.8285292,302.3076959,141.0013369
570 CHOA CHU KANG ST 52,570 CHOA CHU KANG STREET 52 LIMBANG GREEN SINGAPORE 680570,1.394201265,103.7444652,NS5,YEW TEE MRT STATION,1.397459258,103.7474322,45269,BLK 544,1.39436168,103.743731,488.6774005,83.60776818
573 CHOA CHU KANG ST 52,573 CHOA CHU KANG STREET 52 LIMBANG GREEN SINGAPORE 680573,1.394416826,103.7454326,NS5,YEW TEE MRT STATION,1.397459258,103.7474322,45479,KRANJI PR SCH,1.39429508,103.7465204,403.355044,121.8006218
183A BOON LAY AVE,183A BOON LAY AVENUE BOON LAY GROVE SINGAPORE 641183,1.348617948,103.7097377,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21389,OPP ST. JOSEPH'S HME,1.3495144,103.7089646,1172.592298,131.259949
183D BOON LAY AVE,183D BOON LAY AVENUE BOON LAY GROVE SINGAPORE 644183,1.349092894,103.7090415,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21389,OPP ST. JOSEPH'S HME,1.3495144,103.7089646,1199.150468,47.38818795
463B SEMBAWANG DR,463B SEMBAWANG DRIVE HAMILTON PRESCHOOL SINGAPORE 752463,1.45599869,103.8139717,NS11,SEMBAWANG MRT STATION,1.449009398,103.8200406,58359,OPP BLK 484A CP,1.4561944,103.8146541,1026.357315,78.96440916
178C RIVERVALE CRES,178C RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 543178,1.388732701,103.9106605,SE3,BAKAU LRT STATION,1.387992934,103.905414,67661,OPP 178A,1.388894,103.908784,589.5696139,209.5892256
